funding_millions,employees,founders_experience_years,market_size_millions,product_stage,has_revenue,success
11.54,312,21,701.69,MVP,No,1
66.87,771,7,952.97,Idea,No,1
47.16,688,6,610.45,MVP,No,1
56.57,145,6,255.85,MVP,No,1
76.52,705,22,625.85,Idea,Yes,1
63.51,753,13,321.17,Growth,Yes,1
55.4,389,11,976.15,Growth,No,1
55.96,925,24,400.28,Scale,No,1
30.46,641,15,685.74,Growth,No,1
3.18,334,22,24.2,Idea,Yes,1
43.73,12,24,400.66,Idea,No,1
21.54,675,1,875.23,MVP,Yes,1
40.91,210,9,610.62,MVP,Yes,1
85.35,757,18,444.5,Idea,Yes,1
23.47,526,20,936.0,Scale,No,1
5.92,467,3,854.13,Growth,Yes,1
28.21,165,7,322.89,Growth,Yes,1
29.43,712,13,545.0,Idea,Yes,1
66.23,167,19,490.33,Scale,Yes,1
55.75,418,2,632.57,Idea,Yes,1
78.41,836,15,334.78,MVP,No,1
66.46,920,7,244.96,MVP,Yes,1
40.7,989,5,912.76,Scale,Yes,1
81.42,958,12,923.95,MVP,No,1
16.78,556,10,843.48,Idea,No,1
2.37,202,15,978.23,MVP,Yes,1
9.1,839,7,745.25,MVP,No,0
72.26,802,20,764.9,Idea,No,1
46.24,990,1,762.83,Idea,Yes,1
16.21,651,21,481.13,Idea,Yes,1
50.15,143,0,457.0,MVP,Yes,1
15.32,503,18,240.99,MVP,No,1
69.66,449,8,645.17,MVP,No,1
44.67,843,9,290.03,Growth,Yes,1
38.16,393,0,258.55,Idea,Yes,1
30.22,329,17,586.38,Scale,No,1
63.07,81,4,410.57,Scale,No,1
36.25,835,16,219.64,Idea,No,1
8.86,755,18,816.24,MVP,Yes,1
11.89,43,21,860.71,Idea,No,0
96.19,434,17,168.53,MVP,Yes,1
90.87,480,7,8.5,MVP,No,0
70.0,470,18,336.79,Idea,Yes,1
26.66,919,20,797.71,Idea,No,1
96.92,152,7,839.33,MVP,Yes,1
77.9,307,3,139.19,Growth,Yes,1
71.72,182,22,774.56,MVP,No,1
44.99,245,3,116.59,Scale,No,1
27.3,907,14,390.67,MVP,Yes,1
9.73,940,5,998.61,Scale,Yes,1
90.27,46,3,193.4,Idea,Yes,0
45.63,632,19,154.81,Growth,Yes,1
20.32,234,3,423.38,Scale,Yes,1
30.67,194,16,620.05,Idea,Yes,1
57.96,293,17,932.97,Scale,No,1
17.76,195,1,980.84,MVP,Yes,1
85.68,491,4,70.57,MVP,No,0
75.88,995,19,138.86,Growth,No,1
71.97,587,12,790.95,Growth,No,1
43.27,723,3,271.36,Idea,No,1
62.77,494,24,884.96,Scale,No,1
58.45,15,6,663.79,Growth,Yes,1
65.02,85,0,112.73,Scale,No,1
8.54,270,23,832.7,MVP,No,1
41.64,245,0,177.18,Growth,No,1
4.26,840,13,424.07,MVP,Yes,1
49.45,843,24,552.63,Scale,Yes,1
33.05,854,14,501.27,Scale,Yes,1
14.54,638,14,686.48,Scale,No,1
10.43,557,9,653.03,Growth,Yes,1
58.81,649,3,992.05,Scale,Yes,1
17.14,407,14,999.42,MVP,No,1
92.52,670,22,516.94,MVP,Yes,1
58.15,794,2,96.1,Scale,No,1
34.75,763,22,728.12,Idea,Yes,1
59.13,614,10,976.69,Growth,Yes,1
2.38,59,13,319.01,Idea,No,0
95.86,725,4,461.75,Growth,Yes,1
48.28,367,15,425.35,MVP,No,1
78.3,744,4,52.37,MVP,No,0
8.36,540,6,672.59,MVP,Yes,1
48.72,881,18,353.98,MVP,Yes,1
49.12,339,1,787.68,MVP,Yes,1
93.79,931,11,832.29,MVP,Yes,1
57.22,844,14,821.41,Growth,No,1
47.4,332,3,417.25,Scale,Yes,1
26.77,483,7,322.22,Growth,Yes,1
33.22,532,8,749.07,Growth,Yes,1
52.12,769,16,801.59,Scale,Yes,1
43.95,689,24,491.77,Scale,Yes,1
2.26,852,20,893.14,Idea,Yes,1
82.65,371,4,144.76,Growth,No,1
89.63,505,0,879.19,Idea,No,1
14.11,432,1,97.0,Idea,No,0
55.45,909,14,154.37,Scale,Yes,1
10.95,306,3,534.31,Idea,Yes,1
67.26,587,5,68.45,Scale,No,1
28.2,121,21,53.75,Scale,Yes,1
65.98,850,21,1.52,Scale,Yes,1
72.73,385,20,436.88,Growth,No,1
76.89,341,6,774.85,Scale,No,1
10.86,583,15,35.8,Idea,Yes,1
91.61,499,15,652.61,Scale,No,1
23.1,848,4,823.3,Idea,Yes,1
3.84,532,13,168.83,MVP,Yes,1
55.53,517,13,147.72,Idea,Yes,1
37.16,106,9,860.94,MVP,No,1
83.0,23,18,823.3,Growth,Yes,1
80.84,399,16,539.4,MVP,No,1
31.78,998,13,819.38,Scale,No,1
95.29,917,18,93.66,Growth,No,1
29.16,629,19,395.09,Growth,No,1
51.55,631,14,738.06,Scale,No,1
25.67,392,6,258.19,MVP,Yes,1
93.61,179,18,752.58,MVP,No,1
16.54,10,17,504.67,Scale,Yes,1
4.59,340,24,750.52,Growth,No,1
43.57,317,3,465.21,Growth,No,1
99.24,193,10,368.54,MVP,Yes,1
89.18,260,23,219.97,Idea,Yes,1
74.89,26,12,209.17,Idea,Yes,1
89.09,608,23,751.74,Idea,Yes,1
89.36,927,0,119.79,Idea,No,0
51.93,691,0,86.9,Growth,No,1
31.66,449,19,177.12,Idea,Yes,1
77.22,421,8,176.17,Growth,Yes,1
66.2,308,13,823.28,Scale,No,1
37.43,144,10,399.11,Scale,No,1
9.54,599,10,990.4,MVP,Yes,1
74.7,567,23,138.07,Idea,Yes,1
26.32,9,2,653.89,Scale,No,1
93.69,416,19,449.28,Idea,No,1
24.17,279,22,393.53,Growth,Yes,1
12.36,171,16,875.21,Growth,No,1
83.13,703,9,975.62,Idea,No,1
15.41,526,4,872.99,Growth,No,1
18.01,634,17,193.11,Idea,Yes,1
59.98,714,11,221.58,Idea,No,1
87.47,981,3,656.42,Scale,No,1
19.72,803,8,289.79,Scale,No,1
31.1,621,24,734.99,MVP,Yes,1
77.76,879,6,566.85,Scale,No,1
97.19,478,4,551.36,Scale,No,1
50.12,984,17,828.72,Scale,No,1
14.48,761,4,710.82,Idea,Yes,1
1.49,651,22,27.55,MVP,Yes,1
23.04,903,21,50.41,Growth,Yes,1
13.27,516,24,601.96,Scale,No,1
67.8,721,22,486.71,Scale,Yes,1
12.27,286,6,260.92,MVP,No,0
50.68,963,5,419.24,Idea,Yes,1
69.46,624,8,758.15,Scale,No,1
58.15,782,11,826.78,MVP,Yes,1
20.06,461,21,561.66,MVP,Yes,1
80.43,867,18,385.98,Scale,No,1
71.57,76,16,271.43,Growth,Yes,1
73.92,115,21,522.4,MVP,No,1
13.19,508,16,315.43,Idea,No,1
12.46,732,9,564.53,MVP,No,1
92.76,809,10,676.98,Scale,Yes,1
39.82,441,12,67.01,MVP,No,1
30.16,650,2,2.07,Growth,Yes,1
48.91,553,18,213.06,MVP,Yes,1
66.32,961,16,894.62,Scale,Yes,1
95.57,654,18,646.64,Scale,Yes,1
28.72,418,13,172.79,Growth,No,1
92.49,969,19,890.37,Scale,Yes,1
2.58,109,23,470.49,Growth,No,1
55.56,984,14,476.62,MVP,Yes,1
63.43,155,11,935.61,Growth,No,1
10.68,289,2,60.43,Scale,Yes,1
14.12,821,19,215.96,Scale,Yes,1
41.97,734,22,586.19,Idea,Yes,1
96.63,970,17,196.29,Growth,No,1
59.64,750,21,679.85,Idea,Yes,1
93.31,637,21,214.88,Growth,No,1
80.46,347,19,100.06,Growth,No,1
46.79,6,12,207.78,MVP,No,1
78.5,125,2,423.31,Scale,Yes,1
1.88,299,0,176.96,Scale,Yes,1
11.0,42,5,135.56,Idea,Yes,0
82.96,509,10,860.42,Idea,No,1
79.7,777,18,321.08,Idea,No,1
23.34,963,11,361.4,Scale,Yes,1
53.12,490,0,56.22,Growth,No,1
60.64,875,5,358.01,Growth,No,1
86.79,985,24,265.54,Scale,Yes,1
60.35,860,24,610.87,Scale,No,1
41.32,466,9,206.18,Idea,Yes,1
37.48,326,20,888.48,Idea,Yes,1
42.65,977,17,929.74,MVP,Yes,1
65.23,243,23,100.73,MVP,Yes,1
86.76,412,22,108.3,Growth,Yes,1
45.44,75,15,116.21,Idea,Yes,1
24.86,794,9,619.95,MVP,No,1
23.74,650,15,122.85,Idea,No,1
74.63,86,7,852.53,Idea,No,1
81.68,223,8,754.52,Idea,Yes,1
10.62,556,15,819.99,Idea,Yes,1
6.75,541,14,526.53,Growth,No,1
59.48,802,14,996.68,MVP,Yes,1
14.7,267,9,45.13,MVP,No,0
82.48,924,10,401.86,MVP,Yes,1
31.1,445,0,324.61,Growth,Yes,1
14.47,822,15,948.7,Scale,Yes,1
92.1,239,14,577.28,Growth,No,1
16.64,38,23,806.38,Growth,No,1
28.54,56,12,171.17,Growth,Yes,1
15.45,373,11,978.66,Growth,Yes,1
11.64,953,1,499.14,Idea,Yes,1
2.21,50,4,494.18,Scale,No,0
5.63,370,8,970.91,Idea,No,1
17.55,111,9,381.35,MVP,No,1
5.43,931,9,398.13,Growth,Yes,1
59.16,675,9,585.17,MVP,No,1
68.1,763,19,128.92,Idea,No,1
39.42,713,3,321.76,Scale,No,1
31.87,657,8,194.02,Idea,Yes,1
50.5,774,4,104.18,Idea,Yes,1
87.51,10,7,866.28,Scale,Yes,1
85.13,865,17,589.74,Growth,No,1
4.44,740,1,359.31,Idea,No,0
18.23,739,8,409.26,Scale,No,1
23.75,394,0,432.09,Scale,No,1
25.01,801,23,633.52,Idea,Yes,1
57.17,383,18,926.84,MVP,Yes,1
41.68,50,6,932.85,MVP,Yes,1
5.02,908,4,392.1,Idea,No,0
37.42,236,2,329.93,Idea,No,1
52.42,103,11,451.6,Idea,Yes,1
10.26,622,18,568.37,Idea,No,1
83.36,235,14,462.36,MVP,No,1
5.29,858,22,659.09,MVP,No,1
92.49,444,8,554.84,Idea,No,1
10.0,6,6,321.39,MVP,Yes,0
84.37,951,11,346.39,Idea,Yes,1
90.28,515,5,379.21,Scale,No,1
97.96,264,24,95.55,Idea,Yes,1
80.22,677,4,166.9,Scale,No,1
77.97,531,11,723.39,Growth,No,1
64.28,31,13,389.71,Scale,No,1
77.92,760,1,215.32,Growth,Yes,1
13.54,402,11,563.11,MVP,Yes,1
53.65,700,11,755.78,Growth,Yes,1
51.47,895,6,258.16,MVP,No,1
85.77,611,3,826.96,Idea,No,1
46.33,672,1,927.58,MVP,Yes,1
38.57,256,0,597.8,MVP,No,1
63.99,239,12,669.28,Idea,No,1
26.72,416,2,53.52,Idea,Yes,1
14.06,853,23,945.57,Scale,Yes,1
47.84,525,6,393.09,Growth,No,1
41.75,349,16,923.98,MVP,No,1
23.33,780,16,579.4,Scale,Yes,1
36.81,853,12,5.61,Idea,No,1
36.7,902,22,39.5,MVP,No,1
32.82,300,2,680.74,Scale,No,1
38.01,710,5,563.11,Growth,No,1
68.61,591,6,27.51,MVP,Yes,1
29.76,450,3,743.72,MVP,Yes,1
94.89,398,7,852.29,Idea,Yes,1
91.64,116,7,496.92,Idea,No,1
48.14,276,19,466.29,Idea,No,1
32.9,550,7,6.47,Scale,Yes,1
53.59,886,21,786.86,Growth,No,1
84.87,866,19,331.39,MVP,Yes,1
65.29,189,22,878.88,Scale,Yes,1
80.46,679,2,373.69,Idea,No,1
53.32,86,24,565.51,Idea,Yes,1
63.33,675,15,271.07,MVP,Yes,1
28.89,343,24,161.43,Scale,No,1
73.52,450,8,775.13,Growth,Yes,1
20.32,718,23,497.09,Scale,No,1
69.51,426,14,536.95,Idea,Yes,1
86.09,807,1,965.45,Scale,Yes,1
13.3,534,10,963.62,Idea,No,1
61.48,998,3,855.79,Idea,Yes,1
9.6,638,23,188.42,Growth,No,1
72.6,297,7,594.68,Idea,Yes,1
8.54,775,5,878.27,Scale,Yes,1
93.6,409,13,375.09,Scale,Yes,1
13.83,535,10,102.01,Growth,Yes,1
95.89,138,2,811.15,MVP,No,1
80.11,121,20,482.28,Idea,Yes,1
59.41,575,21,564.83,Growth,No,1
78.28,188,18,982.16,Growth,Yes,1
79.53,997,15,607.6,Scale,No,1
94.61,855,10,425.55,Growth,Yes,1
25.41,701,13,370.61,Idea,No,1
59.05,735,13,418.2,Idea,Yes,1
9.6,596,4,119.28,Scale,No,0
61.65,62,2,794.96,Idea,Yes,1
17.21,393,6,837.88,Scale,No,1
56.54,496,11,285.11,Idea,No,1
57.29,915,4,304.49,Growth,No,1
46.65,221,2,874.46,Scale,No,1
52.31,497,21,24.95,MVP,Yes,1
76.42,345,9,520.94,Idea,No,1
79.94,136,14,464.21,Scale,No,1
49.27,104,13,690.44,Idea,No,1
60.0,366,18,164.23,Growth,No,1
93.13,84,18,668.66,Scale,Yes,1
12.06,69,7,377.36,Growth,Yes,1
11.8,352,21,619.1,Idea,No,1
8.86,203,9,41.05,Scale,Yes,1
65.82,555,20,462.27,Idea,Yes,1
41.92,19,10,522.73,Growth,Yes,1
77.45,303,2,215.11,Growth,Yes,1
67.16,454,19,140.48,MVP,Yes,1
33.43,963,0,189.29,MVP,No,0
89.85,635,19,344.8,Idea,Yes,1
76.28,880,1,97.71,Scale,No,1
27.13,344,5,947.37,Idea,No,1
36.48,450,15,405.59,MVP,Yes,1
31.51,421,23,809.16,Growth,No,1
15.85,887,10,974.44,Growth,Yes,1
14.86,959,3,81.65,Growth,Yes,1
93.62,962,5,652.02,Growth,Yes,1
43.85,752,22,871.54,Growth,No,1
38.39,504,18,634.6,Scale,No,1
73.0,541,2,429.6,MVP,No,1
55.34,980,9,431.65,Scale,Yes,1
93.62,285,6,36.86,Scale,No,1
78.05,348,4,535.07,Scale,Yes,1
47.99,897,21,993.55,Scale,No,1
37.7,387,15,958.75,Scale,No,1
98.66,236,4,41.36,Idea,No,0
71.8,561,16,706.09,Scale,No,1
95.12,326,10,302.46,Growth,No,1
11.94,891,1,903.09,MVP,No,0
85.07,909,11,46.07,Growth,Yes,1
63.74,307,4,935.94,MVP,Yes,1
12.28,530,6,837.64,Growth,Yes,1
58.87,984,21,118.39,Scale,No,1
68.64,742,17,60.76,Idea,No,1
1.33,217,3,834.87,MVP,Yes,1
45.49,591,21,156.6,Scale,Yes,1
82.56,620,14,535.36,MVP,Yes,1
29.61,654,21,915.83,Scale,No,1
45.91,26,18,567.88,Idea,No,1
44.29,300,8,397.84,Growth,Yes,1
30.26,854,13,445.57,Scale,Yes,1
91.85,242,13,64.05,Scale,Yes,1
78.15,301,17,968.78,Idea,Yes,1
11.15,323,6,311.34,Scale,No,1
99.7,179,8,190.17,MVP,Yes,1
87.93,157,6,286.76,MVP,Yes,1
28.46,348,7,964.41,MVP,Yes,1
83.71,874,4,95.19,Growth,Yes,1
10.73,3,0,867.44,Growth,No,0
99.91,284,23,708.14,MVP,Yes,1
66.6,62,1,830.19,Idea,No,0
65.05,562,22,975.92,Scale,Yes,1
9.14,252,0,842.31,Idea,No,0
89.71,792,19,943.44,Idea,Yes,1
3.0,585,8,127.81,Growth,Yes,1
24.16,784,12,795.99,MVP,No,1
14.39,635,7,546.13,Growth,No,1
77.7,439,12,543.95,Scale,Yes,1
19.9,861,11,899.02,Idea,No,1
91.07,477,13,971.83,MVP,Yes,1
65.66,950,9,705.13,Growth,Yes,1
3.71,994,13,483.46,Scale,Yes,1
0.64,589,20,456.95,Growth,No,1
5.26,675,10,386.96,MVP,No,1
60.63,257,9,362.24,Growth,Yes,1
80.17,815,3,392.12,Scale,Yes,1
23.93,672,8,90.66,MVP,Yes,1
84.96,902,3,78.36,Scale,No,1
5.82,268,4,780.09,Scale,Yes,1
80.12,788,23,446.63,MVP,Yes,1
92.79,471,2,930.75,Idea,Yes,1
77.23,186,12,612.61,Scale,No,1
69.84,172,20,36.14,Idea,Yes,1
83.81,563,23,158.37,MVP,Yes,1
4.11,320,3,206.61,Idea,No,0
20.26,103,4,975.76,Growth,Yes,1
12.58,428,9,219.49,MVP,Yes,1
50.5,653,13,516.24,Growth,No,1
74.54,320,23,936.24,Scale,Yes,1
63.04,955,5,977.22,Scale,Yes,1
85.13,779,4,237.12,Scale,Yes,1
15.61,513,6,50.07,Idea,No,0
73.49,934,21,154.45,MVP,Yes,1
19.38,434,0,64.27,Idea,Yes,1
27.15,141,9,195.93,Scale,No,1
71.02,37,2,569.0,Growth,Yes,1
98.02,938,3,912.54,MVP,No,1
61.19,959,22,537.68,Growth,No,1
5.54,739,0,626.36,Growth,Yes,1
61.67,104,8,202.67,MVP,No,1
4.33,295,22,800.78,MVP,No,1
88.43,42,15,618.17,Idea,No,1
70.99,53,1,864.27,MVP,Yes,1
17.4,247,11,948.89,MVP,No,1
9.26,572,24,348.55,Scale,Yes,1
18.43,67,10,91.49,Scale,Yes,1
98.0,984,13,226.7,Scale,Yes,1
45.91,456,13,438.4,Idea,Yes,1
78.43,265,16,945.75,Scale,No,1
63.68,517,4,378.93,MVP,No,1
57.28,790,20,771.0,MVP,Yes,1
14.6,313,24,540.94,Scale,Yes,1
94.61,49,3,183.63,Scale,Yes,1
30.2,52,20,321.41,Idea,No,1
57.84,852,20,653.54,MVP,No,1
70.01,113,18,673.18,Growth,Yes,1
64.96,636,9,435.32,Growth,Yes,1
94.07,385,11,229.42,MVP,No,1
14.93,777,20,722.18,Growth,Yes,1
50.88,62,3,169.7,Scale,Yes,1
40.46,897,20,936.73,Idea,No,1
47.47,698,23,188.72,Growth,Yes,1
12.01,450,17,108.21,Growth,No,1
13.5,208,8,498.15,Scale,No,1
27.88,977,13,520.03,MVP,No,1
30.54,303,1,508.68,Idea,Yes,1
42.85,491,23,437.23,Growth,Yes,1
61.14,395,8,994.82,Growth,Yes,1
63.5,232,1,486.79,MVP,Yes,1
41.24,417,19,478.47,Scale,No,1
40.94,153,16,422.34,Scale,No,1
21.84,3,15,67.76,Idea,No,0
58.87,291,1,593.36,Scale,Yes,1
31.77,113,18,228.74,Idea,Yes,1
3.7,415,15,637.97,MVP,Yes,1
41.9,863,19,51.78,Idea,No,1
47.47,164,20,981.41,MVP,No,1
22.64,3,5,469.54,Scale,No,1
57.29,112,5,896.86,MVP,No,1
56.62,509,23,476.09,Growth,No,1
70.23,276,13,61.27,Idea,Yes,1
64.83,490,10,822.39,Growth,Yes,1
65.28,31,7,648.54,MVP,No,0
31.69,334,15,781.98,Growth,No,1
78.76,411,18,428.74,Scale,Yes,1
54.96,432,0,638.3,Growth,No,1
43.2,552,13,856.37,Idea,No,1
62.64,781,24,631.43,MVP,Yes,1
36.13,468,7,348.33,Idea,Yes,1
51.32,841,7,662.87,MVP,Yes,1
